age,job,marital,education,balance,housing,loan,month,duration,campaign,y
2.0,4.0,1.0,3.0,866,0,0,6,7,7,0
1.0,4.0,1.0,3.0,775,0,0,5,35,3,0
2.0,1.0,1.0,1.0,235,1,0,6,58,4,0
1.0,0.0,2.0,2.0,290,1,0,5,80,3,0
1.0,4.0,2.0,3.0,148,1,0,7,632,18,0
1.0,4.0,2.0,3.0,1494,1,0,5,477,2,0
2.0,1.0,1.0,2.0,0,1,0,5,134,1,0
2.0,3.0,1.0,1.0,-187,1,0,7,118,7,0
2.0,3.0,1.0,1.0,3,1,1,6,128,1,0
2.0,7.0,1.0,1.0,137,1,0,5,274,2,0
2.0,4.0,1.0,3.0,0,1,0,5,310,1,0
2.0,7.0,1.0,2.0,543,1,0,4,152,1,0
2.0,3.0,1.0,1.0,7881,0,0,8,507,8,0
2.0,0.0,2.0,2.0,115,0,0,2,225,1,0
2.0,1.0,1.0,2.0,5058,0,0,5,169,4,0
2.0,0.0,1.0,3.0,12276,0,0,6,77,5,0
2.0,1.0,1.0,1.0,6215,1,0,5,549,1,0
2.0,1.0,1.0,1.0,89,1,0,5,34,4,0
2.0,1.0,2.0,1.0,-147,0,1,7,263,2,0
2.0,6.0,1.0,2.0,-206,0,1,7,51,3,0
2.0,4.0,1.0,3.0,4777,0,1,6,12,3,0
2.0,7.0,1.0,2.0,1844,1,1,7,168,6,0
1.0,1.0,2.0,2.0,5,0,0,7,54,3,0
2.0,4.0,1.0,3.0,4301,1,1,5,134,2,0
1.0,9.0,2.0,2.0,247,1,0,5,134,1,0
2.0,4.0,0.0,3.0,129,1,0,5,132,1,0
2.0,3.0,1.0,1.0,322,0,0,5,105,1,0
2.0,0.0,1.0,2.0,32,0,1,7,103,1,0
1.0,1.0,1.0,1.0,2607,1,0,5,158,10,0
2.0,5.0,1.0,2.0,993,1,1,5,199,1,0
2.0,9.0,2.0,3.0,1039,0,0,8,342,3,0
2.0,7.0,2.0,2.0,0,1,0,5,134,3,0
1.0,9.0,1.0,1.0,95,1,0,7,255,1,0
2.0,9.0,1.0,2.0,2760,1,0,5,267,14,0
2.0,0.0,2.0,2.0,2130,1,0,7,126,8,0
2.0,5.0,1.0,2.0,4,0,1,8,147,1,0
2.0,1.0,1.0,2.0,-19,0,1,7,270,1,0
2.0,9.0,1.0,2.0,-146,1,0,8,240,2,0
2.0,0.0,0.0,2.0,661,1,0,11,411,1,0
2.0,6.0,0.0,3.0,2979,1,0,7,118,3,0
2.0,9.0,1.0,3.0,8422,1,0,11,166,3,0
2.0,4.0,1.0,3.0,740,1,0,5,462,1,0
2.0,9.0,2.0,2.0,-472,1,1,5,121,2,0
2.0,1.0,1.0,2.0,6004,1,0,5,133,1,0
2.0,10.0,1.0,2.0,86,0,0,1,1424,1,0
2.0,5.0,1.0,1.0,70,1,1,5,186,5,0
2.0,4.0,2.0,3.0,5691,1,0,11,37,2,0
2.0,1.0,1.0,1.0,246,1,0,5,438,1,0
2.0,0.0,1.0,2.0,3863,1,0,11,239,1,0
2.0,2.0,1.0,2.0,0,0,0,6,119,4,0
1.0,9.0,1.0,2.0,880,1,0,5,188,1,0
2.0,9.0,2.0,3.0,2204,1,0,11,11,4,0
2.0,0.0,1.0,2.0,190,0,0,8,276,3,0
2.0,5.0,1.0,1.0,458,1,0,5,103,1,0
2.0,4.0,0.0,3.0,166,1,0,6,278,1,0
2.0,1.0,0.0,1.0,98,0,1,7,271,1,0
2.0,6.0,1.0,2.0,634,1,0,11,65,1,0
1.0,4.0,1.0,3.0,68,1,0,6,69,4,0
2.0,3.0,0.0,2.0,7783,0,0,6,108,2,0
2.0,0.0,1.0,2.0,170,1,0,5,408,2,0
2.0,1.0,1.0,1.0,1052,0,0,8,149,4,0
2.0,4.0,2.0,3.0,350,1,0,8,359,2,0
2.0,4.0,2.0,3.0,153,0,0,2,65,3,0
2.0,9.0,2.0,2.0,-143,1,0,5,428,7,0
1.0,7.0,1.0,2.0,2526,1,0,7,500,3,0
2.0,9.0,1.0,2.0,338,0,1,7,344,2,0
2.0,0.0,0.0,2.0,2610,0,0,6,67,5,0
2.0,0.0,1.0,2.0,-571,0,0,8,332,2,0
2.0,1.0,1.0,1.0,3057,1,0,5,98,4,0
2.0,4.0,1.0,3.0,1725,1,1,7,164,7,0
2.0,9.0,2.0,2.0,0,0,0,8,86,2,0
1.0,0.0,2.0,2.0,140,1,0,5,103,5,0
2.0,4.0,1.0,3.0,0,0,0,5,68,5,0
2.0,4.0,1.0,3.0,0,0,0,6,22,4,0
2.0,9.0,0.0,2.0,-36,1,0,11,190,1,0
1.0,1.0,2.0,2.0,192,0,0,7,112,2,0
2.0,9.0,2.0,2.0,540,1,0,4,106,1,0
2.0,0.0,1.0,2.0,176,0,0,7,201,2,0
2.0,4.0,1.0,1.0,405,0,0,7,251,2,0
2.0,9.0,1.0,2.0,720,1,0,5,365,6,0
2.0,9.0,2.0,2.0,335,1,0,5,87,5,0
2.0,1.0,1.0,2.0,606,1,0,5,673,2,0
2.0,4.0,1.0,3.0,9261,1,0,4,273,2,0
2.0,4.0,1.0,3.0,549,0,0,8,87,8,0
2.0,9.0,1.0,3.0,44,1,0,11,88,2,0
2.0,6.0,1.0,1.0,3062,0,0,6,237,5,0
2.0,1.0,1.0,2.0,0,0,0,5,211,3,0
2.0,4.0,1.0,3.0,1602,0,0,11,1032,10,0
1.0,4.0,2.0,3.0,6817,1,0,2,154,4,0
2.0,4.0,1.0,3.0,1198,1,0,2,63,1,0
2.0,9.0,0.0,2.0,268,0,0,6,108,6,0
1.0,8.0,2.0,2.0,766,0,0,4,125,6,0
2.0,0.0,1.0,2.0,782,1,0,11,427,1,0
1.0,8.0,2.0,2.0,252,1,0,5,206,3,0
2.0,0.0,2.0,1.0,1367,0,0,7,270,2,0
2.0,7.0,1.0,2.0,1073,0,0,7,518,3,0
2.0,4.0,0.0,3.0,563,0,0,6,10,4,0
2.0,9.0,2.0,2.0,-463,1,0,5,269,3,0
2.0,1.0,1.0,1.0,2198,0,0,5,463,1,0
1.0,4.0,2.0,3.0,370,0,0,8,64,2,0
2.0,4.0,0.0,3.0,147,0,0,7,90,4,0
2.0,5.0,1.0,3.0,53,0,0,7,539,2,0
2.0,4.0,0.0,1.0,11,0,0,2,365,1,0
2.0,1.0,1.0,1.0,0,1,1,5,18,1,0
2.0,9.0,1.0,2.0,-215,1,0,5,155,2,0
2.0,1.0,0.0,2.0,-11,0,0,6,152,2,0
2.0,3.0,1.0,1.0,813,0,0,8,331,2,0
2.0,1.0,1.0,2.0,120,1,1,1,121,1,0
2.0,1.0,1.0,2.0,140,1,1,5,490,1,0
2.0,6.0,1.0,2.0,68,0,0,8,314,2,0
2.0,9.0,0.0,2.0,175,1,0,5,21,8,0
2.0,1.0,2.0,1.0,910,1,0,4,42,1,0
2.0,1.0,1.0,2.0,1334,1,0,4,234,5,0
2.0,7.0,2.0,2.0,6857,0,0,2,216,1,0
2.0,9.0,1.0,2.0,472,1,1,11,229,2,0
2.0,7.0,1.0,2.0,-479,1,0,5,142,1,0
2.0,4.0,2.0,3.0,2408,0,0,8,122,2,0
2.0,1.0,1.0,2.0,11,0,0,6,32,3,0
2.0,7.0,1.0,2.0,0,1,1,5,471,2,0
2.0,1.0,2.0,1.0,36,1,0,5,163,2,0
2.0,4.0,0.0,3.0,2096,0,0,8,317,2,0
2.0,1.0,1.0,1.0,2317,0,0,1,412,1,0
2.0,9.0,1.0,2.0,561,1,0,7,95,1,0
2.0,5.0,1.0,1.0,0,0,0,8,506,1,0
2.0,2.0,1.0,1.0,1529,1,0,4,201,3,0
2.0,1.0,1.0,2.0,4586,1,0,5,784,1,0
2.0,4.0,1.0,3.0,294,1,0,7,97,5,0
2.0,0.0,2.0,2.0,1801,1,0,5,306,1,0
2.0,5.0,1.0,2.0,1454,0,0,1,479,1,0
2.0,1.0,2.0,1.0,-183,0,1,7,395,4,0
2.0,5.0,2.0,3.0,352,0,0,11,198,1,0
1.0,8.0,2.0,1.0,0,0,0,5,72,4,0
2.0,2.0,1.0,3.0,986,0,0,7,970,2,0
2.0,9.0,1.0,2.0,240,0,0,8,290,2,0
2.0,4.0,0.0,2.0,270,0,0,6,125,1,0
2.0,9.0,2.0,2.0,123,0,1,2,136,1,0
2.0,4.0,1.0,3.0,120,0,0,8,449,4,0
2.0,7.0,1.0,1.0,222,1,0,5,68,1,0
2.0,1.0,1.0,1.0,2114,1,0,4,40,1,0
2.0,0.0,1.0,2.0,292,1,1,7,164,6,0
2.0,7.0,1.0,1.0,285,1,0,2,625,4,0
2.0,0.0,1.0,2.0,532,1,0,7,95,1,0
2.0,2.0,1.0,1.0,600,0,0,7,538,1,0
2.0,4.0,0.0,3.0,373,0,0,8,148,4,0
2.0,9.0,1.0,2.0,-183,1,0,5,202,2,0
2.0,7.0,0.0,2.0,241,1,0,5,133,1,0
2.0,9.0,2.0,2.0,1771,1,0,5,81,2,0
2.0,9.0,0.0,2.0,221,0,0,8,413,2,0
2.0,9.0,0.0,2.0,-236,1,0,5,204,2,0
2.0,4.0,1.0,3.0,213,0,0,4,151,3,0
2.0,9.0,2.0,2.0,29,0,0,8,156,2,0
2.0,0.0,1.0,2.0,642,1,0,4,351,1,0
1.0,4.0,2.0,3.0,938,0,0,5,172,2,0
2.0,1.0,1.0,1.0,3643,0,0,6,11,3,0
1.0,7.0,2.0,3.0,719,0,1,8,38,2,0
2.0,1.0,1.0,2.0,0,0,0,6,85,2,0
2.0,9.0,2.0,2.0,17,1,0,5,164,1,0
1.0,7.0,2.0,3.0,0,0,0,7,71,1,0
2.0,4.0,0.0,3.0,213,1,0,4,65,2,0
2.0,4.0,1.0,3.0,911,1,0,1,49,1,0
2.0,1.0,1.0,2.0,944,0,0,5,231,2,0
2.0,4.0,2.0,3.0,305,1,0,5,297,14,0
2.0,9.0,1.0,2.0,592,0,0,6,206,1,0
1.0,7.0,2.0,2.0,256,1,0,5,101,2,0
2.0,9.0,1.0,2.0,547,0,0,8,459,2,0
2.0,4.0,1.0,2.0,1477,1,0,11,111,1,0
2.0,4.0,0.0,3.0,909,1,0,7,147,2,0
2.0,7.0,1.0,2.0,2201,1,0,5,233,3,0
2.0,1.0,1.0,1.0,2291,1,1,1,489,3,0
1.0,1.0,1.0,2.0,450,0,0,5,526,2,0
2.0,9.0,1.0,2.0,0,0,0,8,240,1,0
2.0,4.0,2.0,3.0,28,1,0,5,237,2,0
2.0,1.0,1.0,2.0,9680,0,0,8,89,4,0
2.0,4.0,2.0,3.0,5694,1,0,11,145,2,0
2.0,9.0,1.0,3.0,267,1,0,11,30,1,0
2.0,6.0,1.0,3.0,1498,0,0,2,62,1,0
2.0,0.0,2.0,1.0,2355,1,0,6,101,1,0
2.0,1.0,1.0,1.0,0,0,0,7,47,2,0
2.0,4.0,1.0,3.0,0,1,0,6,100,17,0
2.0,1.0,2.0,2.0,2469,1,0,5,232,1,0
2.0,10.0,1.0,2.0,20,0,0,1,304,1,0
2.0,4.0,1.0,2.0,-26,1,0,5,343,1,0
2.0,9.0,0.0,2.0,2730,0,0,8,430,2,0
2.0,3.0,2.0,1.0,1,0,0,6,83,2,0
2.0,1.0,2.0,2.0,-477,0,0,7,37,4,0
2.0,1.0,1.0,2.0,165,1,0,5,333,2,0
2.0,4.0,1.0,3.0,423,1,0,7,134,24,0
2.0,7.0,0.0,2.0,264,0,0,7,71,1,0
2.0,9.0,1.0,3.0,4396,0,0,6,1195,2,0
2.0,1.0,1.0,1.0,373,1,0,5,179,1,0
2.0,7.0,1.0,2.0,1114,0,0,11,283,1,0
2.0,1.0,1.0,2.0,2066,1,1,7,34,5,0
2.0,1.0,1.0,2.0,1164,0,0,11,242,1,0
2.0,9.0,1.0,2.0,2398,1,1,7,18,33,0
2.0,4.0,1.0,3.0,1857,0,0,8,128,4,0
2.0,9.0,0.0,2.0,-191,0,0,1,86,1,0
2.0,1.0,1.0,2.0,1397,1,0,7,114,4,0
1.0,1.0,0.0,2.0,302,1,0,2,116,1,0
2.0,4.0,1.0,3.0,273,1,0,7,231,10,0
2.0,1.0,1.0,2.0,3181,1,0,5,28,6,0
2.0,4.0,2.0,3.0,648,1,0,11,290,1,0
2.0,5.0,1.0,1.0,13,0,0,1,384,2,0
2.0,4.0,1.0,3.0,4039,0,1,7,106,2,0
2.0,1.0,1.0,1.0,1090,1,0,4,207,1,0
2.0,4.0,2.0,3.0,5073,1,0,7,68,4,0
2.0,4.0,1.0,3.0,663,1,0,8,106,4,0
1.0,0.0,2.0,2.0,105,1,0,11,75,1,0
2.0,9.0,2.0,3.0,6742,0,0,8,318,6,0
2.0,4.0,0.0,3.0,194,0,0,1,97,1,0
1.0,1.0,2.0,3.0,4127,1,0,11,47,4,0
3.0,5.0,1.0,1.0,2301,0,0,4,124,1,0
2.0,7.0,0.0,2.0,2015,1,0,11,242,1,0
2.0,0.0,1.0,2.0,1450,0,0,5,489,2,0
2.0,9.0,1.0,3.0,579,1,0,6,80,3,0
2.0,1.0,1.0,2.0,474,1,1,5,219,4,0
2.0,0.0,2.0,2.0,2534,0,0,7,105,2,0
2.0,1.0,1.0,2.0,0,1,0,4,145,2,0
2.0,4.0,1.0,3.0,58,1,0,7,72,3,0
2.0,0.0,1.0,2.0,159,0,0,11,177,1,0
1.0,1.0,2.0,2.0,543,1,0,5,302,1,0
2.0,1.0,1.0,2.0,121,1,0,5,617,2,0
2.0,7.0,1.0,2.0,6687,1,0,11,41,2,0
2.0,9.0,1.0,2.0,268,0,0,7,128,1,0
2.0,5.0,1.0,1.0,868,0,0,6,207,1,0
2.0,1.0,1.0,2.0,217,1,0,5,561,1,0
2.0,0.0,0.0,2.0,1352,1,0,5,6,2,0
2.0,9.0,1.0,3.0,3530,1,0,7,470,1,0
2.0,0.0,0.0,2.0,639,1,0,5,88,1,0
2.0,1.0,1.0,2.0,-103,1,0,5,298,1,0
2.0,9.0,2.0,3.0,110,0,0,8,238,4,0
2.0,1.0,1.0,2.0,0,0,0,2,235,1,0
2.0,7.0,1.0,3.0,1018,0,0,6,325,3,0
2.0,1.0,1.0,1.0,123,0,0,8,168,2,0
1.0,1.0,1.0,1.0,2581,0,0,5,221,2,0
1.0,2.0,2.0,3.0,219,1,0,5,257,1,0
2.0,7.0,2.0,2.0,294,0,0,7,73,1,0
1.0,4.0,1.0,3.0,134,1,0,5,70,1,0
1.0,2.0,1.0,3.0,-23,0,0,7,123,4,0
1.0,1.0,2.0,2.0,1311,1,0,6,100,3,0
2.0,1.0,1.0,2.0,771,1,1,6,254,1,0
2.0,4.0,0.0,3.0,302,0,0,8,80,13,0
2.0,10.0,1.0,2.0,219,1,0,5,357,1,0
2.0,0.0,1.0,2.0,1788,1,0,6,274,2,0
2.0,9.0,2.0,2.0,667,1,0,11,279,1,0
1.0,9.0,1.0,2.0,33,1,0,5,146,2,0
2.0,1.0,1.0,2.0,497,0,0,6,95,4,0
1.0,1.0,1.0,1.0,1317,1,0,5,395,2,0
2.0,4.0,1.0,3.0,2759,1,1,8,329,2,0
2.0,0.0,1.0,2.0,0,0,0,6,89,1,0
2.0,9.0,2.0,3.0,122,0,0,5,73,5,0
2.0,9.0,1.0,2.0,1091,0,0,7,47,2,0
2.0,1.0,1.0,1.0,809,0,0,8,160,1,0
2.0,4.0,2.0,3.0,336,1,0,5,17,1,0
1.0,7.0,2.0,2.0,117,1,0,5,133,1,0
1.0,1.0,2.0,1.0,1128,1,0,6,88,4,0
2.0,1.0,1.0,2.0,-98,1,0,5,112,1,0
2.0,4.0,1.0,3.0,91,1,0,5,178,2,0
2.0,1.0,1.0,2.0,380,1,1,7,58,1,0
2.0,4.0,1.0,3.0,552,0,0,7,761,8,0
2.0,4.0,0.0,3.0,350,1,0,6,128,1,0
2.0,1.0,1.0,2.0,1979,1,0,11,283,1,0
2.0,7.0,1.0,2.0,1860,1,0,6,129,5,0
2.0,0.0,1.0,2.0,224,0,0,6,421,2,0
2.0,9.0,2.0,2.0,2683,0,0,7,73,2,0
2.0,4.0,1.0,3.0,1267,1,0,5,82,2,0
2.0,9.0,1.0,2.0,451,1,1,5,247,1,0
2.0,9.0,1.0,2.0,534,0,0,8,314,1,0
2.0,4.0,1.0,3.0,950,0,0,8,210,2,0
2.0,1.0,1.0,1.0,1397,1,0,5,58,2,0
2.0,1.0,1.0,1.0,229,0,0,7,186,2,0
2.0,7.0,1.0,2.0,-119,1,0,7,151,3,0
2.0,1.0,1.0,2.0,2023,1,0,7,214,1,0
2.0,0.0,1.0,2.0,73,0,0,7,195,1,0
2.0,7.0,1.0,3.0,218,1,0,5,154,3,0
2.0,1.0,1.0,1.0,3,0,0,6,45,3,0
2.0,4.0,1.0,3.0,59,1,1,2,319,1,0
2.0,3.0,1.0,1.0,182,0,0,2,133,1,0
2.0,1.0,1.0,2.0,2190,0,1,1,90,2,0
2.0,7.0,1.0,2.0,-62,1,0,6,109,3,0
2.0,4.0,2.0,3.0,-289,1,0,5,490,1,0
2.0,4.0,1.0,3.0,71,0,0,2,75,1,0
1.0,1.0,2.0,2.0,39,0,0,7,22,7,0
2.0,9.0,2.0,2.0,0,0,0,6,229,2,0
2.0,2.0,1.0,2.0,0,1,0,5,387,2,0
2.0,1.0,1.0,2.0,1329,1,1,7,141,2,0
1.0,7.0,2.0,2.0,0,0,1,7,95,3,0
2.0,1.0,1.0,1.0,0,0,0,11,850,2,0
2.0,0.0,1.0,2.0,-169,1,0,4,219,1,0
2.0,1.0,1.0,2.0,917,1,0,7,58,2,0
2.0,1.0,2.0,1.0,1187,1,0,4,113,1,0
2.0,2.0,0.0,2.0,14,0,0,6,22,1,0
1.0,9.0,2.0,2.0,8,1,0,5,777,3,0
2.0,4.0,1.0,2.0,0,1,0,7,96,2,0
2.0,1.0,1.0,1.0,1533,0,1,11,273,2,0
2.0,4.0,2.0,3.0,30,0,0,8,161,2,0
2.0,9.0,1.0,3.0,48,0,0,8,34,14,0
2.0,9.0,2.0,2.0,7503,1,0,5,193,1,0
2.0,2.0,0.0,2.0,-37,0,0,5,173,1,0
2.0,0.0,1.0,2.0,3784,0,0,5,672,6,0
2.0,4.0,1.0,2.0,725,1,0,7,266,1,0
2.0,1.0,0.0,2.0,52,1,0,5,574,1,0
2.0,4.0,1.0,3.0,7289,1,0,2,316,3,0
2.0,1.0,1.0,2.0,714,1,0,5,254,1,0
2.0,9.0,1.0,2.0,17,1,0,7,266,3,0
1.0,9.0,2.0,2.0,356,1,0,5,224,2,0
2.0,0.0,2.0,2.0,346,1,0,5,24,7,0
2.0,1.0,1.0,2.0,2549,1,0,5,246,3,0
2.0,9.0,2.0,3.0,741,1,0,5,69,1,0
1.0,3.0,1.0,1.0,0,1,0,7,317,3,0
2.0,7.0,1.0,2.0,7434,0,0,6,986,1,0
2.0,4.0,2.0,3.0,334,1,0,5,36,6,0
2.0,1.0,1.0,1.0,290,1,0,7,408,3,0
2.0,9.0,0.0,1.0,3744,1,0,5,489,2,0
2.0,9.0,0.0,3.0,2328,0,0,8,129,7,0
2.0,7.0,0.0,1.0,92,1,1,5,118,3,0
2.0,1.0,2.0,2.0,231,1,0,6,466,1,0
1.0,7.0,2.0,2.0,553,0,1,7,60,5,0
2.0,2.0,1.0,1.0,1249,0,0,2,187,1,0
1.0,9.0,2.0,2.0,276,0,1,8,159,5,0
1.0,4.0,1.0,3.0,1,1,1,5,49,1,0
1.0,1.0,2.0,2.0,3,1,0,5,311,1,0
2.0,9.0,2.0,2.0,751,1,0,11,85,5,0
2.0,9.0,1.0,2.0,862,0,0,11,474,2,0
2.0,1.0,1.0,1.0,145,0,0,2,59,3,0
2.0,0.0,2.0,3.0,0,0,0,5,327,1,0
1.0,4.0,2.0,3.0,890,0,0,8,16,18,0
2.0,4.0,1.0,3.0,3161,0,0,8,433,2,0
2.0,5.0,1.0,2.0,1300,0,0,6,420,1,0
2.0,5.0,0.0,2.0,935,0,0,7,8,17,0
2.0,5.0,1.0,3.0,138,0,0,5,143,1,0
2.0,9.0,0.0,2.0,399,1,0,5,148,9,0
2.0,0.0,0.0,2.0,2550,1,0,6,424,2,0
2.0,9.0,2.0,2.0,246,1,0,7,174,2,0
2.0,9.0,1.0,2.0,133,0,0,7,81,5,0
1.0,1.0,2.0,1.0,0,0,1,7,240,2,0
2.0,4.0,1.0,3.0,114,0,0,8,342,1,0
2.0,4.0,1.0,1.0,4362,0,0,6,238,1,0
1.0,4.0,2.0,2.0,62,0,0,7,467,3,0
2.0,9.0,1.0,2.0,650,1,0,5,241,2,0
2.0,4.0,2.0,3.0,755,1,0,8,68,12,0
2.0,9.0,2.0,2.0,0,1,0,5,275,4,0
1.0,2.0,1.0,2.0,422,1,0,5,69,3,0
2.0,4.0,1.0,1.0,0,0,0,5,455,1,0
2.0,4.0,1.0,3.0,937,0,0,5,61,1,0
2.0,1.0,1.0,2.0,475,1,0,4,254,1,0
2.0,0.0,1.0,2.0,17957,0,0,6,700,7,0
2.0,1.0,1.0,1.0,66,1,0,5,184,4,0
2.0,9.0,1.0,1.0,5,0,0,5,57,2,0
2.0,0.0,1.0,2.0,746,1,0,11,581,3,0
2.0,0.0,0.0,2.0,673,1,0,6,509,2,0
2.0,9.0,1.0,2.0,88,0,0,8,150,2,0
2.0,4.0,1.0,3.0,2475,1,0,11,1476,4,0
2.0,1.0,1.0,2.0,0,1,0,5,105,1,0
2.0,5.0,1.0,2.0,377,0,1,7,468,4,0
1.0,9.0,2.0,2.0,1400,1,1,5,424,1,0
2.0,4.0,2.0,3.0,120,0,1,3,81,1,0
2.0,4.0,0.0,2.0,4908,0,0,7,42,4,0
1.0,1.0,1.0,2.0,127,1,1,2,66,1,0
2.0,1.0,1.0,2.0,865,1,0,5,78,2,0
1.0,1.0,1.0,2.0,321,1,1,2,102,2,0
2.0,10.0,1.0,2.0,1811,1,0,11,137,4,0
2.0,0.0,1.0,3.0,233,1,0,11,102,4,0
2.0,9.0,1.0,3.0,22,0,0,8,122,5,0
